"source","time_s","time_ns","action","controller_state","hand_in_frame"
"hand","1681338185",249080181,0,1,"False"
"hand","1681338185",755053997,0,1,"False"
"hand","1681338186",246858835,0,1,"False"
"hand","1681338186",747151136,0,1,"False"
"hand","1681338187",249469041,0,1,"False"
"hand","1681338187",739081144,0,1,"False"
"hand","1681338188",356765508,1,1,"True"
"hand","1681338189",784693717,0,1,"False"
"hand","1681338190",283956766,0,1,"False"
"hand","1681338190",781380891,0,1,"False"
"hand","1681338191",281603097,0,1,"False"
"hand","1681338191",783811330,0,1,"False"
"hand","1681338192",285668373,0,1,"False"
"hand","1681338194",191906213,2,1,"True"
"hand","1681338195",133113861,2,1,"True"
"hand","1681338196",362463951,0,1,"False"
"hand","1681338197",77796936,1,1,"True"
"hand","1681338198",520984888,0,1,"False"
"hand","1681338199",15013456,0,1,"False"
"hand","1681338199",522787570,0,1,"False"
"hand","1681338200",24192571,0,1,"False"
"hand","1681338200",515683412,0,1,"False"
"hand","1681338201",15072584,0,1,"False"
"hand","1681338201",514827728,0,1,"False"
"hand","1681338202",14398813,0,1,"False"
"hand","1681338202",515320301,0,1,"False"
"hand","1681338203",18482208,0,1,"False"
"hand","1681338203",519808053,0,1,"False"
"hand","1681338204",17298936,0,1,"False"
"hand","1681338204",522294044,0,1,"False"
"hand","1681338205",16456604,0,1,"False"
"hand","1681338205",522891759,0,1,"False"
"hand","1681338206",15548229,0,1,"False"
"hand","1681338206",520441770,0,1,"False"
"hand","1681338207",15363216,0,1,"False"
"hand","1681338207",515511274,0,1,"False"
"hand","1681338208",21513462,0,1,"False"
"hand","1681338208",532418251,0,1,"False"
"hand","1681338209",16915798,0,1,"False"
"hand","1681338209",515535354,0,1,"False"
"hand","1681338210",16113758,0,1,"False"
"hand","1681338210",519023180,0,1,"False"
"hand","1681338211",14958620,0,1,"False"
"hand","1681338211",522412300,0,1,"False"
"hand","1681338212",17343282,0,1,"False"
"hand","1681338212",515368700,0,1,"False"
"hand","1681338213",15886783,0,1,"False"
"hand","1681338213",515298843,0,1,"False"
"hand","1681338214",16221046,0,1,"False"
"hand","1681338214",516583442,0,1,"False"
"hand","1681338215",19250869,0,1,"False"
"hand","1681338215",516164541,0,1,"False"
"hand","1681338216",22192239,0,1,"False"
"hand","1681338216",519142866,0,1,"False"
"hand","1681338217",20774841,0,1,"False"
"hand","1681338217",516098737,0,1,"False"
"hand","1681338218",16291618,0,1,"False"
"hand","1681338218",516080379,0,1,"False"
"hand","1681338219",22167205,0,1,"False"
"hand","1681338219",515406370,0,1,"False"
"hand","1681338220",20342111,0,1,"False"
"hand","1681338220",519172668,0,1,"False"
"hand","1681338221",16204357,0,1,"False"
"hand","1681338221",516890764,0,1,"False"
"hand","1681338222",22113561,0,1,"False"
"hand","1681338222",515510559,0,1,"False"
"hand","1681338223",28179407,0,1,"False"
"hand","1681338223",518574953,0,1,"False"
"hand","1681338224",16158103,0,1,"False"
"hand","1681338224",516680240,0,1,"False"
"hand","1681338225",25040626,0,1,"False"
"hand","1681338225",515283823,0,1,"False"
"hand","1681338226",20044565,0,1,"False"
"hand","1681338226",517541885,0,1,"False"
"hand","1681338227",24181365,0,1,"False"
"hand","1681338227",515965223,0,1,"False"
"hand","1681338228",20374298,0,1,"False"
"hand","1681338228",519419908,0,1,"False"
"hand","1681338229",16857862,0,1,"False"
"hand","1681338229",518400430,0,1,"False"
"hand","1681338230",18468141,0,1,"False"
"hand","1681338230",517848491,0,1,"False"
"hand","1681338231",19160032,0,1,"False"
"hand","1681338231",517164230,0,1,"False"
"hand","1681338232",17370700,0,1,"False"
"hand","1681338232",514992952,0,1,"False"
"hand","1681338233",15029191,0,1,"False"
"hand","1681338233",514917850,0,1,"False"
"hand","1681338234",16353607,0,1,"False"
"hand","1681338234",522259712,0,1,"False"
"hand","1681338235",17907381,0,1,"False"
"hand","1681338235",515910387,0,1,"False"
"hand","1681338236",27407646,0,1,"False"
"hand","1681338236",515538215,0,1,"False"
"hand","1681338237",18484830,0,1,"False"
"hand","1681338237",522661685,0,1,"False"
"hand","1681338238",16325473,0,1,"False"
"hand","1681338238",517361164,0,1,"False"
"hand","1681338239",16177892,0,1,"False"
"hand","1681338239",524935245,0,1,"False"
"hand","1681338240",26701211,0,1,"False"
"hand","1681338240",524628162,0,1,"False"
"hand","1681338241",22992372,0,1,"False"
"hand","1681338241",519858121,0,1,"False"
"hand","1681338242",20247220,0,1,"False"
"hand","1681338242",518828392,0,1,"False"
"hand","1681338243",19419908,0,1,"False"
"hand","1681338243",516483783,0,1,"False"
"hand","1681338244",16252756,0,1,"False"
"hand","1681338244",515061140,0,1,"False"
"hand","1681338245",14770269,0,1,"False"
"hand","1681338245",516056776,0,1,"False"
"hand","1681338246",18426895,0,1,"False"
"hand","1681338246",517603635,0,1,"False"
"hand","1681338247",22435665,0,1,"False"
"hand","1681338247",522602558,0,1,"False"
"hand","1681338248",23800373,0,1,"False"
"hand","1681338248",516200542,0,1,"False"
"hand","1681338249",16887187,0,1,"False"
"hand","1681338249",517127275,0,1,"False"
"hand","1681338250",25008916,0,1,"False"
"hand","1681338250",520858287,0,1,"False"
"hand","1681338251",15514850,0,1,"False"
"hand","1681338251",515597343,0,1,"False"
"hand","1681338252",15327930,0,1,"False"
"hand","1681338252",516895294,0,1,"False"
"hand","1681338253",22644758,0,1,"False"
"hand","1681338253",517805576,0,1,"False"
"hand","1681338254",16548871,0,1,"False"
"hand","1681338254",515825033,0,1,"False"
"hand","1681338255",16055583,0,1,"False"
"hand","1681338255",520162582,0,1,"False"
"hand","1681338256",14428615,0,1,"False"
"hand","1681338256",537795305,0,1,"False"
"hand","1681338257",16239166,0,1,"False"
"hand","1681338257",516383647,0,1,"False"
"hand","1681338258",15469312,0,1,"False"
"hand","1681338258",519325017,0,1,"False"
"hand","1681338259",15669345,0,1,"False"
"hand","1681338259",518918752,0,1,"False"
"hand","1681338260",21994829,0,1,"False"
"hand","1681338260",521573781,0,1,"False"
"hand","1681338261",16333341,0,1,"False"
"hand","1681338261",625568866,8,1,"True"
"hand","1681338262",153109550,8,1,"True"
"hand","1681338262",626524925,8,1,"True"
"hand","1681338263",924637794,0,1,"True"
"hand","1681338264",933706521,0,1,"True"
"hand","1681338265",525390386,8,1,"True"
"hand","1681338266",28580904,8,1,"True"
"hand","1681338266",524876117,8,1,"True"
"hand","1681338267",29755353,8,1,"True"
"hand","1681338267",530572652,8,1,"True"
"hand","1681338268",25029420,8,1,"True"
"hand","1681338268",525709629,8,1,"True"
"hand","1681338269",30969619,8,1,"True"
"hand","1681338270",24817943,0,1,"True"
"hand","1681338270",527077674,0,1,"True"
"hand","1681338271",25981426,0,1,"True"
"hand","1681338271",528389930,0,1,"True"
"hand","1681338272",30908584,0,1,"True"
"hand","1681338272",526164531,0,1,"True"
"hand","1681338273",30953168,0,1,"True"
"hand","1681338273",530407428,0,1,"True"
"hand","1681338274",36101341,0,1,"True"
"hand","1681338274",523880481,0,1,"True"
"hand","1681338275",29817104,0,1,"True"
"hand","1681338275",525733947,0,1,"True"
"hand","1681338276",26903629,0,1,"True"
"hand","1681338276",525950431,0,1,"True"
"hand","1681338277",841310977,0,1,"True"
"hand","1681338278",324903011,0,1,"True"
"hand","1681338279",330683231,NA,NA,"changing mode"
"hand","1681338281",714491605,NA,NA,"changing mode"
"hand","1681338284",599912881,8,1,"True"
"hand","1681338285",100660800,8,1,"True"
"hand","1681338285",597977876,8,1,"True"
"hand","1681338286",98940134,8,1,"True"
"hand","1681338286",600716829,8,1,"True"
"hand","1681338287",97855567,8,1,"True"
"hand","1681338287",605436325,8,1,"True"
"hand","1681338288",105970382,8,1,"True"
"hand","1681338288",600045919,8,1,"True"
"hand","1681338289",109519720,8,1,"True"
"hand","1681338289",603547573,8,1,"True"
"hand","1681338290",506726980,0,1,"True"
"hand","1681338291",201840162,8,1,"True"
"hand","1681338291",702620506,8,1,"True"
"hand","1681338292",205999135,8,1,"True"
"hand","1681338292",698051691,8,1,"True"
"hand","1681338293",198479890,8,1,"True"
"hand","1681338293",700880050,8,1,"True"
"hand","1681338294",806754112,NA,NA,"changing mode"
"hand","1681338297",699224948,0,0,"True"
"hand","1681338298",197640180,0,0,"True"
"hand","1681338298",694054603,0,0,"True"
"hand","1681338299",192910432,0,0,"True"
"hand","1681338299",707505464,0,0,"True"
"hand","1681338300",193585634,0,0,"True"
"hand","1681338300",690532207,0,0,"True"
"hand","1681338301",195444583,0,0,"True"
"hand","1681338302",392530441,0,0,"True"
"hand","1681338302",892778635,0,0,"True"
"hand","1681338303",393185853,0,0,"True"
"hand","1681338303",895540952,0,0,"True"
"hand","1681338304",390910863,0,0,"True"
"hand","1681338305",390829324,1,0,"True"
"hand","1681338307",72597026,1,0,"True"
"hand","1681338308",709532737,1,0,"True"
"hand","1681338310",305539846,1,0,"True"
"hand","1681338311",901823520,1,0,"True"
"hand","1681338313",514801263,1,0,"True"
"hand","1681338315",105682134,1,0,"True"
"hand","1681338316",769037723,1,0,"True"
"hand","1681338318",850760698,0,0,"False"
"hand","1681338319",351284742,0,0,"False"
"hand","1681338319",852075815,0,0,"False"
"hand","1681338320",357213258,0,0,"False"
"hand","1681338320",857840538,0,0,"False"
"hand","1681338321",352484941,0,0,"False"
"hand","1681338321",850084543,0,0,"False"
"hand","1681338322",351310491,0,0,"False"
"hand","1681338322",849990844,0,0,"False"
"hand","1681338323",351508378,0,0,"False"
"hand","1681338323",852357864,0,0,"False"
"hand","1681338324",355062007,0,0,"False"
"hand","1681338324",856390953,0,0,"False"
"hand","1681338325",351664543,0,0,"False"
"hand","1681338325",851249456,0,0,"False"
"hand","1681338326",354801893,0,0,"False"
"hand","1681338326",850374698,0,0,"False"
"hand","1681338327",351079702,0,0,"False"
"hand","1681338327",851876497,0,0,"False"
"hand","1681338328",368299961,0,0,"False"
"hand","1681338328",853801727,0,0,"False"
"hand","1681338329",564377784,1,0,"True"
"hand","1681338331",751049995,1,0,"True"
"hand","1681338333",952224493,0,0,"False"
"hand","1681338334",457201957,0,0,"False"
"hand","1681338334",954048871,0,0,"True"
"hand","1681338335",454432725,0,0,"True"
"hand","1681338335",956808805,0,0,"True"
"hand","1681338336",456298589,0,0,"True"
"hand","1681338336",952003479,0,0,"True"
"hand","1681338337",455845117,0,0,"False"
"hand","1681338337",949399232,0,0,"False"
"hand","1681338338",447608947,0,0,"False"
"hand","1681338338",944577693,0,0,"False"
"hand","1681338340",355229854,NA,NA,"changing mode"
"hand","1681338343",225514411,0,1,"False"
"hand","1681338343",732547998,0,1,"False"
"hand","1681338344",225921392,0,1,"False"
"hand","1681338344",726464271,0,1,"False"
"hand","1681338345",226605415,0,1,"False"
"hand","1681338345",726176977,0,1,"False"
"hand","1681338346",227552652,0,1,"False"
"hand","1681338346",725150108,0,1,"False"
"hand","1681338347",231866836,0,1,"False"
"hand","1681338347",727350473,0,1,"False"
"hand","1681338348",229869365,0,1,"False"
"hand","1681338348",729269981,0,1,"False"
"hand","1681338349",225774049,0,1,"False"
"hand","1681338349",736068964,0,1,"False"
"hand","1681338350",225631952,0,1,"False"
"hand","1681338350",729757070,0,1,"False"
"hand","1681338351",233731508,0,1,"False"
"hand","1681338351",730893135,0,1,"False"
"hand","1681338352",231229782,0,1,"False"
"hand","1681338352",733830690,0,1,"False"
"hand","1681338353",232044219,0,1,"False"
"hand","1681338353",726649761,0,1,"False"
"hand","1681338354",225800514,0,1,"False"
"hand","1681338354",727299690,0,1,"False"
"hand","1681338355",226957082,0,1,"False"
"hand","1681338355",732870578,0,1,"False"
"hand","1681338359",535701990,7,1,"True"
"hand","1681338360",534964799,3,1,"True"
"hand","1681338361",795886516,3,1,"True"
"hand","1681338363",20564556,3,1,"True"
"hand","1681338364",295522212,3,1,"True"
"hand","1681338365",736253499,0,1,"False"
"hand","1681338366",236915111,0,1,"False"
"hand","1681338366",739348173,0,1,"False"
"hand","1681338367",242217063,0,1,"False"
"hand","1681338367",736354351,0,1,"False"
"hand","1681338368",235187768,0,1,"False"
"hand","1681338368",735837221,0,1,"False"
"hand","1681338369",258050203,0,1,"False"
"hand","1681338369",734689950,0,1,"False"
"hand","1681338370",252000093,0,1,"False"
"hand","1681338371",545688152,0,1,"False"
"hand","1681338372",39314985,0,1,"False"
"hand","1681338372",547693729,0,1,"False"
"hand","1681338374",547141551,NA,NA,"changing mode"
"hand","1681338377",419062852,0,0,"False"
"hand","1681338377",920393228,0,0,"False"
"hand","1681338378",421702623,0,0,"False"
"hand","1681338378",922251462,0,0,"False"
"hand","1681338379",420566797,0,0,"False"
"hand","1681338379",928429603,0,0,"False"
"hand","1681338380",421731233,0,0,"False"
"hand","1681338380",919966936,0,0,"False"
"hand","1681338381",424218893,0,0,"False"
"hand","1681338381",922465801,0,0,"False"
"hand","1681338382",421967983,0,0,"False"
"hand","1681338382",921259403,0,0,"False"
"hand","1681338383",426802635,0,0,"False"
"hand","1681338383",919854640,0,0,"False"
"hand","1681338384",421586275,0,0,"False"
